"Census Tract","FIPS Code","Formatted FIPS","Life expectancy at birth, as of 2010-2015."
"37119004000, NC","37119004000","=""37119004000""","71.6"
"37119004100, NC","37119004100","=""37119004100""","74.4"
"37119004200, NC","37119004200","=""37119004200""","71.8"
"37119004302, NC","37119004302","=""37119004302""","71.3"
"37119004303, NC","37119004303","=""37119004303""","77.8"
"37119004304, NC","37119004304","=""37119004304""","74.2"
"37119004305, NC","37119004305","=""37119004305""","73.0"
"37119004400, NC","37119004400","=""37119004400""","75.7"
"37119004500, NC","37119004500","=""37119004500""","71.9"
"37119004600, NC","37119004600","=""37119004600""","70.7"
"37119004700, NC","37119004700","=""37119004700""","75.7"
"37119004800, NC","37119004800","=""37119004800""","75.0"
"37119004900, NC","37119004900","=""37119004900""","N/A"
"37119005000, NC","37119005000","=""37119005000""","71.2"
"37119005100, NC","37119005100","=""37119005100""","74.2"
"37119005200, NC","37119005200","=""37119005200""","72.5"
"37119005301, NC","37119005301","=""37119005301""","74.1"
"37119005305, NC","37119005305","=""37119005305""","80.9"
"37119005306, NC","37119005306","=""37119005306""","75.8"
"37119005307, NC","37119005307","=""37119005307""","74.7"
"37119005308, NC","37119005308","=""37119005308""","74.7"
"37119005401, NC","37119005401","=""37119005401""","74.0"
"37119005403, NC","37119005403","=""37119005403""","74.0"
"37119005404, NC","37119005404","=""37119005404""","75.2"
"37119005508, NC","37119005508","=""37119005508""","80.0"
"37119005509, NC","37119005509","=""37119005509""","79.4"
"37119005510, NC","37119005510","=""37119005510""","N/A"
"37119005511, NC","37119005511","=""37119005511""","77.8"
"37119005512, NC","37119005512","=""37119005512""","75.8"
"37119005513, NC","37119005513","=""37119005513""","82.2"
"37119005514, NC","37119005514","=""37119005514""","82.5"
"37119005515, NC","37119005515","=""37119005515""","79.9"
"37119005516, NC","37119005516","=""37119005516""","79.9"
"37119005517, NC","37119005517","=""37119005517""","84.6"
"37119005518, NC","37119005518","=""37119005518""","78.0"
"37119005519, NC","37119005519","=""37119005519""","80.6"
"37119005520, NC","37119005520","=""37119005520""","N/A"
"37119005521, NC","37119005521","=""37119005521""","79.4"
"37119005522, NC","37119005522","=""37119005522""","N/A"
"37119005523, NC","37119005523","=""37119005523""","74.3"
"37119005524, NC","37119005524","=""37119005524""","76.8"
"37119005604, NC","37119005604","=""37119005604""","N/A"
"37119005605, NC","37119005605","=""37119005605""","N/A"
"37119005609, NC","37119005609","=""37119005609""","N/A"
"37119005610, NC","37119005610","=""37119005610""","79.3"
"37119005611, NC","37119005611","=""37119005611""","77.7"
"37119005612, NC","37119005612","=""37119005612""","78.6"
"37119005613, NC","37119005613","=""37119005613""","78.3"
"37119005614, NC","37119005614","=""37119005614""","N/A"
"37119005615, NC","37119005615","=""37119005615""","N/A"
"37119005616, NC","37119005616","=""37119005616""","78.3"
"37119005617, NC","37119005617","=""37119005617""","80.2"
"37119005618, NC","37119005618","=""37119005618""","77.7"
"37119005619, NC","37119005619","=""37119005619""","77.3"
"37119005620, NC","37119005620","=""37119005620""","77.7"
"37119005621, NC","37119005621","=""37119005621""","N/A"
"37119005706, NC","37119005706","=""37119005706""","79.8"
"37119005709, NC","37119005709","=""37119005709""","81.6"
"37119005710, NC","37119005710","=""37119005710""","78.5"
"37119005711, NC","37119005711","=""37119005711""","82.7"
"37119005712, NC","37119005712","=""37119005712""","79.7"
"37119005713, NC","37119005713","=""37119005713""","81.1"
"37119005714, NC","37119005714","=""37119005714""","78.4"
"37119005715, NC","37119005715","=""37119005715""","78.1"
"37119005716, NC","37119005716","=""37119005716""","78.2"
"37119005717, NC","37119005717","=""37119005717""","76.7"
"37119005811, NC","37119005811","=""37119005811""","80.1"
"37119005812, NC","37119005812","=""37119005812""","78.7"
"37119005815, NC","37119005815","=""37119005815""","80.5"
"37119005816, NC","37119005816","=""37119005816""","88.7"
"37119005817, NC","37119005817","=""37119005817""","84.0"
"37119005823, NC","37119005823","=""37119005823""","81.6"
"37119005824, NC","37119005824","=""37119005824""","78.1"
"37119005825, NC","37119005825","=""37119005825""","78.4"
"37119005826, NC","37119005826","=""37119005826""","75.9"
"37119005827, NC","37119005827","=""37119005827""","N/A"
"37119005828, NC","37119005828","=""37119005828""","84.4"
"37119005829, NC","37119005829","=""37119005829""","75.7"
"37119005830, NC","37119005830","=""37119005830""","78.8"
"37119005831, NC","37119005831","=""37119005831""","80.8"
"37119005832, NC","37119005832","=""37119005832""","N/A"
"37119005833, NC","37119005833","=""37119005833""","83.8"
"37119005834, NC","37119005834","=""37119005834""","N/A"
"37119005835, NC","37119005835","=""37119005835""","83.4"
"37119005836, NC","37119005836","=""37119005836""","77.9"
"37119005837, NC","37119005837","=""37119005837""","80.8"
"37119005838, NC","37119005838","=""37119005838""","80.8"
"37119005839, NC","37119005839","=""37119005839""","N/A"
"37119005840, NC","37119005840","=""37119005840""","78.1"
"37119005841, NC","37119005841","=""37119005841""","80.4"
"37119005842, NC","37119005842","=""37119005842""","83.5"
"37119005843, NC","37119005843","=""37119005843""","82.5"
"37119005844, NC","37119005844","=""37119005844""","N/A"
"37119005845, NC","37119005845","=""37119005845""","80.8"
"37119005846, NC","37119005846","=""37119005846""","82.8"
"37119005847, NC","37119005847","=""37119005847""","84.5"
"37119005848, NC","37119005848","=""37119005848""","82.2"
"37119005906, NC","37119005906","=""37119005906""","74.4"
"37119005907, NC","37119005907","=""37119005907""","80.4"
"37119005908, NC","37119005908","=""37119005908""","85.4"
"37119005909, NC","37119005909","=""37119005909""","N/A"
"37119005910, NC","37119005910","=""37119005910""","78.9"
"37119005911, NC","37119005911","=""37119005911""","78.7"
"37119005912, NC","37119005912","=""37119005912""","76.6"
"37119005913, NC","37119005913","=""37119005913""","82.8"
"37119005914, NC","37119005914","=""37119005914""","76.8"
"37119005915, NC","37119005915","=""37119005915""","N/A"
"37119005916, NC","37119005916","=""37119005916""","75.8"
"37119005917, NC","37119005917","=""37119005917""","N/A"
"37119005918, NC","37119005918","=""37119005918""","80.4"
"37119006005, NC","37119006005","=""37119006005""","79.2"
"37119006006, NC","37119006006","=""37119006006""","75.5"
"37119006007, NC","37119006007","=""37119006007""","N/A"
"37119006008, NC","37119006008","=""37119006008""","78.7"
